ID,FULL_NAME,FIRST_DEPTH_NAME,SECOND_DEPTH_NAME,THIRD_DEPTH_NAME,FOURTH_DEPTH_NAME,USED
1,서울특별시,서울특별시,,,,1
2,서울특별시 종로구,서울특별시,종로구,,,1
3,서울특별시 종로구 청운동,서울특별시,종로구,청운동,,1
4,서울특별시 종로구 신교동,서울특별시,종로구,신교동,,1
5,서울특별시 종로구 궁정동,서울특별시,종로구,궁정동,,1
6,서울특별시 종로구 효자동,서울특별시,종로구,효자동,,1
7,서울특별시 종로구 창성동,서울특별시,종로구,창성동,,1
8,서울특별시 종로구 통의동,서울특별시,종로구,통의동,,1
9,서울특별시 종로구 적선동,서울특별시,종로구,적선동,,1
10,서울특별시 종로구 통인동,서울특별시,종로구,통인동,,1
11,서울특별시 종로구 누상동,서울특별시,종로구,누상동,,1
12,서울특별시 종로구 누하동,서울특별시,종로구,누하동,,1
13,서울특별시 종로구 옥인동,서울특별시,종로구,옥인동,,1
14,서울특별시 종로구 체부동,서울특별시,종로구,체부동,,1
15,서울특별시 종로구 필운동,서울특별시,종로구,필운동,,1
16,서울특별시 종로구 내자동,서울특별시,종로구,내자동,,1
17,서울특별시 종로구 사직동,서울특별시,종로구,사직동,,1
18,서울특별시 종로구 도렴동,서울특별시,종로구,도렴동,,1
19,서울특별시 종로구 당주동,서울특별시,종로구,당주동,,1
20,서울특별시 종로구 내수동,서울특별시,종로구,내수동,,1
21,서울특별시 종로구 세종로,서울특별시,종로구,세종로,,1
22,서울특별시 종로구 신문로1가,서울특별시,종로구,신문로1가,,1
23,서울특별시 종로구 신문로2가,서울특별시,종로구,신문로2가,,1
24,서울특별시 종로구 청진동,서울특별시,종로구,청진동,,1
25,서울특별시 종로구 서린동,서울특별시,종로구,서린동,,1
26,서울특별시 종로구 수송동,서울특별시,종로구,수송동,,1
27,서울특별시 종로구 중학동,서울특별시,종로구,중학동,,1
28,서울특별시 종로구 종로1가,서울특별시,종로구,종로1가,,1
29,서울특별시 종로구 공평동,서울특별시,종로구,공평동,,1
30,서울특별시 종로구 관훈동,서울특별시,종로구,관훈동,,1
31,서울특별시 종로구 견지동,서울특별시,종로구,견지동,,1
32,서울특별시 종로구 와룡동,서울특별시,종로구,와룡동,,1
33,서울특별시 종로구 권농동,서울특별시,종로구,권농동,,1
34,서울특별시 종로구 운니동,서울특별시,종로구,운니동,,1
35,서울특별시 종로구 익선동,서울특별시,종로구,익선동,,1
36,서울특별시 종로구 경운동,서울특별시,종로구,경운동,,1
37,서울특별시 종로구 관철동,서울특별시,종로구,관철동,,1
38,서울특별시 종로구 인사동,서울특별시,종로구,인사동,,1
39,서울특별시 종로구 낙원동,서울특별시,종로구,낙원동,,1
40,서울특별시 종로구 종로2가,서울특별시,종로구,종로2가,,1
41,서울특별시 종로구 팔판동,서울특별시,종로구,팔판동,,1
42,서울특별시 종로구 삼청동,서울특별시,종로구,삼청동,,1
43,서울특별시 종로구 안국동,서울특별시,종로구,안국동,,1
44,서울특별시 종로구 소격동,서울특별시,종로구,소격동,,1
45,서울특별시 종로구 화동,서울특별시,종로구,화동,,1
46,서울특별시 종로구 사간동,서울특별시,종로구,사간동,,1
47,서울특별시 종로구 송현동,서울특별시,종로구,송현동,,1
48,서울특별시 종로구 가회동,서울특별시,종로구,가회동,,1
49,서울특별시 종로구 재동,서울특별시,종로구,재동,,1
50,서울특별시 종로구 계동,서울특별시,종로구,계동,,1
51,서울특별시 종로구 원서동,서울특별시,종로구,원서동,,1
52,서울특별시 종로구 훈정동,서울특별시,종로구,훈정동,,1
53,서울특별시 종로구 묘동,서울특별시,종로구,묘동,,1
54,서울특별시 종로구 봉익동,서울특별시,종로구,봉익동,,1
55,서울특별시 종로구 돈의동,서울특별시,종로구,돈의동,,1
56,서울특별시 종로구 장사동,서울특별시,종로구,장사동,,1
57,서울특별시 종로구 관수동,서울특별시,종로구,관수동,,1
